S.N,Stock Name,Stock Symbol,Sector
172,Suryodaya Laghubitta Bittiya Sanstha Ltd.,SLBS,Microfinance
173,Swabalamban Laghubitta Bittiya Sanstha Limited,SWBBL,Microfinance
174,Swabhimaan Laghubitta Bittiya Sanstha Limited,SMFBS,Microfinance
175,Swarojgar Laghu Bitta Bikas Bank Ltd.,SLBBL,Microfinance
176,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,USLB,Microfinance
177,Vijaya laghubitta Bittiya Sanstha Ltd.,VLBS,Microfinance
178,Womi Microfinance Bittiya Sanstha Ltd.,WOMI,Microfinance
179,Ajod Insurance Limited,AIL,Non Life Insurance
180,Everest Insurance Co. Ltd.,EIC,Non Life Insurance
181,General Insurance Company Nepal Ltd,GIC,Non Life Insurance
182,Himalayan General Insurance Co. Ltd,HGI,Non Life Insurance
183,IME General Insurance Ltd.,IGI,Non Life Insurance
184,Lumbini General Insurance Co. Ltd.,LGIL,Non Life Insurance
185,Neco Insurance Co. Ltd.,NIL,Non Life Insurance
186,Nepal Insurance Co. Ltd.,NICL,Non Life Insurance
187,NLG Insurance Company Ltd.,NLG,Non Life Insurance
188,Prabhu Insurance Ltd.,PRIN,Non Life Insurance
189,Premier Insurance Co. Ltd.,PIC,Non Life Insurance
190,Prudential Insurance Co. Ltd.,PICL,Non Life Insurance
191,Rastriya Beema Company Limited,RBCL,Non Life Insurance
192,Sagarmatha Insurance Co. Ltd.,SIC,Non Life Insurance
193,Sanima General Insurance Limited,SGI,Non Life Insurance
194,Shikhar Insurance Co. Ltd.,SICL,Non Life Insurance
195,Siddhartha Insurance Ltd.,SIL,Non Life Insurance
196,United Insurance Co. (Nepal) Ltd.,UIC,Non Life Insurance
197,Nepal Doorsanchar Comapany Limited,NTC,Others
198,Nepal Reinsurance Company Limited,NRIC,Others
199,Bishal Bazar Company Limited,BBC,Tradings
200,Salt Trading Corporation,STC,Tradings
