Symbol,LTP,% Change,High,Low,Open,Qty.,Unnamed: 7
SAEF,16.35,-0.61,16.37,16.27,16.37,107700,
SANIMA,485.0,1.25,489.0,480.0,487.0,71531,
SAPDBL,331.0,-0.9,350.0,318.0,318.0,10580,
SBCF,10.1,-0.39,10.12,10.05,10.12,4150,
SBI,415.0,0.0,421.0,414.0,420.0,12615,
SBIBD86,1060.0,0.0,1060.0,1060.0,1060.0,100,
SBL,498.0,0.4,509.0,497.0,500.0,91362,
SBLD84,1005.0,0.0,1005.0,1005.0,1005.0,50,
SCB,596.0,-1.0,606.0,596.0,600.0,6649,
SDLBSL,1619.0,1.82,1638.0,1575.0,1575.0,1128,
SEF,13.99,-0.07,14.2,13.97,14.0,177850,
SFCL,382.0,-1.29,394.0,376.0,393.0,11623,
SFMF,15.21,-1.87,15.69,15.21,15.58,65250,
SGI,741.0,0.14,754.0,730.0,730.0,2770,
SHEL,417.0,-0.71,434.0,415.0,420.0,5025,
SHINE,412.0,-0.24,415.0,408.0,415.0,20607,
SHIVM,1447.0,-0.21,1522.0,1440.0,1522.0,7295,
SHL,270.0,1.12,279.0,265.0,265.0,22155,
SHPC,487.0,-1.02,516.0,484.0,516.0,26101,
SIC,1569.0,-0.88,1592.0,1568.0,1589.0,3653,
SICL,2024.0,0.45,2044.0,2020.0,2043.0,6450,
SIFC,407.0,-2.4,425.0,403.0,425.0,10624,
SIGS2,14.19,1.36,14.24,13.97,13.97,45200,
SIL,1091.0,0.83,1103.0,1090.0,1103.0,2261,
SINDU,360.0,0.0,372.0,360.0,366.0,7719,
SJCL,438.0,0.0,443.0,435.0,438.0,9408,
SKBBL,1602.0,0.95,1615.0,1600.0,1600.0,4092,
SLBBL,1400.0,2.56,1418.0,1368.0,1368.0,8354,
SLBS,1645.0,1.11,1659.0,1627.0,1627.0,803,
SLBSL,1412.0,1.95,1494.0,1400.0,1400.0,1146,
SLCF,10.08,-0.2,10.08,10.01,10.01,13750,
SLICL,933.0,0.11,946.0,929.0,932.0,6330,
SMATA,1622.0,-0.67,1645.0,1611.0,1611.0,1405,
SMB,2365.0,0.6,2398.0,2351.0,2351.0,36,
SMFBS,2410.0,0.33,2445.0,2400.0,2402.0,588,
SMFDB,1650.0,3.19,1663.0,1571.0,1630.0,1115,
SNLB,1630.0,1.68,1648.0,1625.0,1629.0,1080,
SPDL,412.0,0.0,428.0,404.0,420.0,34321,
SRBL,368.0,0.82,374.0,365.0,367.0,46359,
SRD80,1050.0,0.48,1050.0,1040.0,1043.0,1100,
SSHL,333.0,0.91,341.0,330.0,336.0,19516,
STC,9851.0,-0.99,10000.0,9851.0,10000.0,223,
SWBBL,1619.0,1.31,1630.0,1616.0,1625.0,3150,
TRH,389.0,0.52,398.0,389.0,394.0,9431,
UIC,739.0,0.14,749.0,739.0,745.0,10959,
UMHL,365.0,-1.08,376.0,364.0,376.0,30954,
UMRH,484.0,-0.82,524.0,472.0,497.0,3025,
UNHPL,347.0,-3.61,367.0,347.0,360.0,17152,
UNL,20000.0,-0.44,20000.0,20000.0,20000.0,10,
UPCL,298.0,-1.0,313.0,298.0,307.0,31272,
UPPER,826.0,0.85,900.0,817.0,859.0,543545,
USLB,2166.0,1.31,2215.0,2166.0,2170.0,722,
VLBS,1691.0,1.68,1747.0,1676.0,1680.0,2595,
WOMI,1581.0,1.02,1620.0,1550.0,1596.0,3031,
