,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Amount
404,ALICL,58,35,100,140300.0
405,ALICL,58,36,50,68800.0
406,ALICL,58,36,915,1259040.0
407,ALICL,58,57,193,265568.0
408,ALICL,58,28,50,68950.0
409,ALICL,58,28,550,756800.0
410,ALICL,58,42,480,672000.0
411,ALICL,58,58,100,146000.0
412,ALICL,58,19,200,293600.0
413,ALICL,58,28,10,14060.0
414,ALICL,58,28,109,152818.0
415,ALICL,58,56,200,281200.0
416,ALICL,58,34,590,837800.0
417,ALICL,58,29,100,140200.0
418,ALICL,58,56,100,140600.0
419,ALICL,58,46,200,283200.0
420,ALICL,58,56,200,283200.0
421,ALICL,58,44,167,238476.0
422,ALICL,58,36,100,143200.0
423,ALICL,58,26,333,477522.0
424,ALICL,58,29,20,28800.0
425,ALICL,58,56,50,72000.0
426,ALICL,58,57,780,1123200.0
427,ALICL,58,53,50,72000.0
428,ALICL,58,57,100,144000.0
429,ALICL,58,36,15,21480.0
430,ALICL,58,28,200,288000.0
431,ALICL,58,10,100,144400.0
432,ALICL,58,57,100,144500.0
433,ALICL,58,16,200,289000.0
434,ALICL,58,5,10,14450.0
435,ALICL,58,50,117,169065.0
436,ALICL,58,16,100,144800.0
437,ALICL,58,26,100,145000.0
438,ALICL,58,42,20,29000.0
439,ALICL,58,26,218,316318.0
440,ALICL,58,33,70,101150.0
441,ALICL,58,6,10,14550.0
442,ALICL,58,18,300,436500.0
443,ALICL,58,41,150,218250.0
444,ALICL,58,28,40,58200.0
445,ALICL,58,39,90,131130.0
446,ALICL,58,53,50,72900.0
447,ALICL,58,38,600,875400.0
448,ALICL,58,53,100,145900.0
449,ALICL,58,18,300,437700.0
450,ALICL,58,29,30,43770.0
451,ALICL,58,52,300,438000.0
452,ALICL,58,51,300,438000.0
453,ALICL,58,28,200,292000.0
454,ALICL,58,58,30,43800.0
455,ALICL,58,10,20,29360.0
456,ALICL,58,34,80,117440.0
457,ALICL,58,34,20,29440.0
458,ALICL,58,50,50,73650.0
459,ALICL,58,38,150,220950.0
460,ALICL,58,26,100,147300.0
461,ALICL,58,45,80,117840.0
462,ALICL,58,19,80,118080.0
463,ALICL,58,49,240,354240.0
464,ALICL,58,49,10,14780.0
465,ALICL,58,50,50,73900.0
466,ALICL,58,3,40,59120.0
467,ALICL,58,42,200,296400.0
468,ALICL,58,6,50,74150.0
469,ALICL,58,42,154,228382.0
470,ALICL,58,52,500,741500.0
471,ALICL,58,42,500,742000.0
472,ALICL,58,42,346,513464.0
473,ALICL,58,42,154,228536.0
474,ALICL,58,50,78,115752.0
475,ALICL,58,49,60,89520.0
476,ALICL,58,20,50,74850.0
477,ALICL,58,17,50,74700.0
478,ALICL,58,58,15,22350.0
479,ALICL,58,16,10,14930.0
480,API,58,14,30,10350.0
481,API,58,51,100,34900.0
482,API,58,6,200,68600.0
483,API,58,38,100,34300.0
484,API,58,45,200,67200.0
485,API,58,4,129,44634.0
486,API,58,49,20,6920.0
487,API,58,4,100,35600.0
488,API,58,4,300,106800.0
489,API,58,1,40,14120.0
490,API,58,39,200,70600.0
491,API,58,58,200,70600.0
492,API,58,28,560,197680.0
493,API,58,49,500,175000.0
494,API,58,49,300,105000.0
495,API,58,49,50,17500.0
496,API,58,21,1000,349000.0
497,API,58,37,72,25056.0
498,API,58,4,151,52246.0
499,API,58,4,20,6900.0
500,API,58,4,100,34500.0
501,API,58,4,100,34500.0
502,API,58,4,50,17250.0
503,API,58,4,31,10695.0
504,API,58,7,200,69400.0
505,API,58,48,150,52800.0
506,API,58,59,500,173500.0
507,API,58,34,30,10530.0
508,API,58,53,30,10800.0
509,API,58,6,170,61200.0
510,API,58,40,279,100161.0
511,API,58,57,20,7160.0
512,API,58,41,600,216000.0
513,API,58,41,56,20160.0
514,API,58,52,144,51840.0
515,API,58,8,50,18050.0
516,API,58,42,50,18050.0
517,API,58,35,65,23595.0
518,API,58,7,50,18150.0
519,API,58,59,10,3630.0
520,API,58,44,75,27225.0
521,API,58,33,200,72800.0
522,API,58,16,50,17400.0
523,API,58,44,55,20020.0
524,API,58,19,300,109200.0
525,API,58,16,125,43500.0
526,API,58,44,59,21712.0
527,API,58,26,500,184000.0
528,API,58,44,70,25760.0
529,API,58,14,500,184000.0
530,API,58,17,100,36800.0
531,API,58,53,100,36800.0
532,API,58,58,1000,368000.0
533,API,58,40,50,18400.0
534,API,58,41,15,5520.0
535,API,58,4,118,43424.0
536,API,58,29,100,36800.0
537,API,58,41,15,5520.0
538,API,58,40,48,17664.0
539,API,58,45,100,36800.0
540,API,58,22,300,110400.0
541,API,58,35,50,18400.0
542,API,58,4,50,18400.0
543,API,58,54,50,18400.0
544,API,58,17,200,73600.0
545,API,58,45,50,18450.0
